nu/v	E_r/v	N_theta	N_zeta	N_xi	D11	D31	D13	D33	D33 Spitzer	t_clock	Delta D11 zeta	Delta D31 zeta	Delta D13 zeta	Delta D33 zeta	Delta D11 theta	Delta D31 theta	Delta D13 theta	Delta D33 theta
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	7.10000000000000E+01	1.80000000000000E+02	4.94505721389920E-02	8.71070557327042E-02	-8.79824405176913E-02	-1.79273641581660E+04	-6.14841280454489E+04	6.00161000000000E+01	3.29904569387682E-05	4.40533951509468E-03	-4.81965205557908E-03	1.05893184322522E+01	6.73947388215440E-05	-1.51152523933456E-02	1.60427664527965E-02	-1.60134857509402E+01
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	7.50000000000000E+01	1.80000000000000E+02	4.94835625959307E-02	9.15123952477989E-02	-9.28020925732704E-02	-1.79167748397338E+04	-6.14841280454488E+04	7.06534000000000E+01	1.01075823504965E-04	-2.05606439699718E-04	4.06921974895363E-04	2.86411042064683E+01	7.83305624244349E-05	-1.55273012921279E-02	1.68509002784800E-02	-6.46422080121192E+00
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	7.90000000000000E+01	1.80000000000000E+02	4.95846384194357E-02	9.13067888080992E-02	-9.23951705983751E-02	-1.78881337355273E+04	-6.14841280454488E+04	8.21283000000000E+01	8.09204978700975E-05	-5.79656585417700E-03	6.35173704662877E-03	8.92651408278107E+00	6.16388474429103E-05	-5.65929446847499E-03	6.75473497569211E-03	-1.95171072605081E+00
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	8.30000000000000E+01	1.80000000000000E+02	4.96655589173058E-02	8.55102229539222E-02	-8.60434335517463E-02	-1.78792072214445E+04	-6.14841280454488E+04	9.48251000000000E+01	4.77294837059397E-05	-1.03464247645600E-03	1.09033826368174E-03	3.46050700331034E+00	4.44021545536674E-05	6.42502818849242E-04	-5.27907341769412E-04	1.49489263565920E+00
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	8.70000000000000E+01	1.80000000000000E+02	4.97132884010117E-02	8.44755804774662E-02	-8.49530952880646E-02	-1.78757467144412E+04	-6.14841280454488E+04	1.07112300000000E+02	6.40059714866123E-05	4.61360337157421E-04	-2.34319135071909E-04	1.52519379413789E+01	3.79924934299988E-05	1.38037364407598E-03	-1.25516575390858E-03	1.73588946597010E+00
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	9.10000000000000E+01	1.80000000000000E+02	4.97772943724983E-02	8.49369408146236E-02	-8.51874144231365E-02	-1.78604947764999E+04	-6.14841280454489E+04	1.21262200000000E+02	2.79402949769913E-05	-1.66915244747284E-03	1.93987446321861E-03	3.77134132042192E+00	2.79937183591677E-05	2.36001755101355E-03	-2.35249288811291E-03	-4.01756776627735E-01
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	9.50000000000000E+01	1.80000000000000E+02	4.98052346674753E-02	8.32677883671508E-02	-8.32475399599178E-02	-1.78567234351794E+04	-6.14841280454488E+04	1.38517900000000E+02	2.82938993893950E-05	1.24781118275219E-03	-1.17339271833201E-03	1.24632129215752E+00	2.68916715015291E-05	1.30849694039789E-03	-1.44406105240656E-03	-1.20338578015071E+00
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	9.90000000000000E+01	1.80000000000000E+02	4.98335285668647E-02	8.45155995499029E-02	-8.44209326782499E-02	-1.78554771138873E+04	-6.14841280454489E+04	1.55095900000000E+02	1.94966110830530E-05	-8.49387791922313E-04	6.41798490475715E-04	-4.89971752998827E-01	2.41947671354020E-05	1.61795081715103E-03	-1.64114855532380E-03	-1.44109894894791E+00
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	1.03000000000000E+02	1.80000000000000E+02	4.98530251779478E-02	8.36662117579806E-02	-8.37791341877741E-02	-1.78559670856403E+04	-6.14841280454487E+04	1.76130400000000E+02	1.59049201907471E-05	1.31751207733416E-03	-1.10930296222438E-03	-4.96657655290619E-01	2.31146004356780E-05	1.24975825395807E-03	-1.33003436155833E-03	-1.65317883038006E+00
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	1.07000000000000E+02	1.80000000000000E+02	4.98689300981385E-02	8.49837238353148E-02	-8.48884371499985E-02	-1.78564637432956E+04	-6.14841280454488E+04	1.94859800000000E+02	1.82666982669125E-05	2.43360006937712E-04	-3.67168425158354E-04	-9.64663164028025E-01	2.14044645967110E-05	1.08247198938161E-03	-1.11718706066959E-03	-1.84961248862965E+00
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	1.11000000000000E+02	1.80000000000000E+02	4.98871967964055E-02	8.52270838422525E-02	-8.52556055751569E-02	-1.78574284064596E+04	-6.14841280454488E+04	2.15840800000000E+02	1.87531281086867E-05	6.15315789628076E-04	-5.75914462638313E-04	-8.94200849143090E-01	1.93487552914914E-05	2.75914809386144E-04	-2.87924599059963E-04	-1.86971573378105E+00
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	1.15000000000000E+02	1.80000000000000E+02	4.99059499245141E-02	8.58423996318806E-02	-8.58315200377952E-02	-1.78583226073087E+04	-6.14841280454488E+04	2.38132100000000E+02	1.95684086141956E-05	2.94516598883868E-04	-3.26784147625714E-04	-8.39400251508778E-01	1.63816021179625E-05	-5.42139049151291E-04	5.53351315532510E-04	-1.62623117704788E+00
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	1.19000000000000E+02	1.80000000000000E+02	4.99255183331283E-02	8.61369162307645E-02	-8.61583041854209E-02	-1.78591620075602E+04	-6.14841280454488E+04	2.67862400000000E+02	2.66111054222848E-05	8.12325020829799E-04	-8.07677961796607E-04	-8.16355376889987E-01	1.48458419551994E-05	-1.22133192694282E-03	1.25796226888476E-03	-1.37719845717947E+00
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	1.23000000000000E+02	1.80000000000000E+02	4.99521294385506E-02	8.69492412515943E-02	-8.69659821472175E-02	-1.78599783629371E+04	-6.14841280454489E+04	2.90937600000000E+02	3.50899410228450E-05	8.07286734842289E-04	-8.16943701721501E-04	-3.38755368269631E-01	1.27174642235023E-05	-1.70290473314891E-03	1.75388907401025E-03	-1.04385669028125E+00
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	1.27000000000000E+02	1.80000000000000E+02	4.99872193795735E-02	8.77565279864365E-02	-8.77829258489390E-02	-1.78603171183054E+04	-6.14841280454489E+04	3.17943500000000E+02	3.57340852116250E-05	1.88843937303465E-04	-2.16224341385643E-04	-3.09337221518945E-01	7.93106436332985E-06	-2.22873931884938E-03	2.29078682014709E-03	-7.18588043630007E-01
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	1.31000000000000E+02	1.80000000000000E+02	5.00229534647851E-02	8.79453719237400E-02	-8.79991501903247E-02	-1.78606264555269E+04	-6.14841280454487E+04	3.45856600000000E+02	2.73762795139840E-05	-2.86053161360308E-04	2.77482147002434E-04	5.45934917270643E-01	2.79930218621133E-06	-2.25679850778473E-03	2.33216981566300E-03	-1.77644453109679E-01
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	1.35000000000000E+02	1.80000000000000E+02	5.00503297442991E-02	8.76593187623797E-02	-8.77216680433222E-02	-1.78600805206097E+04	-6.14841280454489E+04	3.85607200000000E+02	1.48815091498208E-05	-2.24361140492693E-04	2.28385545608112E-04	1.21742728472964E+00	-1.64866591027824E-06	-1.56019935017564E-03	1.62681734842302E-03	-9.12182865740760E-01
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	1.39000000000000E+02	1.80000000000000E+02	5.00652112534489E-02	8.74349576218870E-02	-8.74932824977141E-02	-1.78588630933249E+04	-6.14841280454488E+04	4.18389200000000E+02	8.88982159637924E-06	-3.99557815027041E-06	9.92881388099665E-06	1.12510263382865E+00	-3.09638935359902E-06	-8.98310720355761E-04	9.56264485792321E-04	-1.56344443744092E+00
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	1.43000000000000E+02	1.80000000000000E+02	5.00741010750453E-02	8.74309620437367E-02	-8.74833536838331E-02	-1.78577379906911E+04	-6.14841280454488E+04	4.48803100000000E+02	6.86645091280136E-06	2.38083370518227E-04	-2.33772900312248E-04	1.14268910322062E+00	-3.27039717797073E-06	-5.69252464446945E-04	6.20685733977930E-04	-1.23058880068857E+00
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	1.47000000000000E+02	1.80000000000000E+02	5.00809675259581E-02	8.76690454142550E-02	-8.77171265841454E-02	-1.78565953015879E+04	-6.14841280454488E+04	4.89299800000000E+02	4.11795181432667E-06	4.53808656658727E-04	-4.53531655998804E-04	1.79614327189120E+00	-4.03050258266507E-06	-3.89876538599662E-04	4.33594541132898E-04	-8.03897591740679E-01
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	1.51000000000000E+02	1.80000000000000E+02	5.00850854777724E-02	8.81228540709137E-02	-8.81706582401442E-02	-1.78547991583160E+04	-6.14841280454488E+04	5.32437600000000E+02	2.33520688921324E-06	4.58833460655103E-04	-4.59059069240403E-04	2.55059874607832E+00	-4.02499720893179E-06	-2.61501411945975E-04	3.00197503110014E-04	-5.90458114002104E-01
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	1.55000000000000E+02	1.80000000000000E+02	5.00874206846616E-02	8.85816875315688E-02	-8.86297173093846E-02	-1.78522485595699E+04	-6.14841280454488E+04	5.72948400000000E+02	2.63239286972528E-06	3.09733080231009E-04	-3.07399942134662E-04	2.72575855752075E+00	-3.00282428341431E-06	-1.84698529856531E-04	2.22523314094225E-04	-3.53736455330363E-01
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	1.59000000000000E+02	1.80000000000000E+02	5.00900530775313E-02	8.88914206117998E-02	-8.89371172515192E-02	-1.78495228010124E+04	-6.14841280454487E+04	6.05919400000000E+02	2.74195421821888E-06	1.17440152143988E-04	-1.13652460915561E-04	2.19914166493982E+00	-2.74664718358936E-06	-1.55784664576275E-04	1.94717585944679E-04	-1.36973245891568E-01
1.00000000000000E-05	0.00000000000000E+00	2.30000000000000E+01	1.63000000000000E+02	1.80000000000000E+02	5.00927950317496E-02	8.90088607639438E-02	-8.90507697124348E-02	-1.78473236593474E+04	-6.14841280454489E+04	6.60072600000000E+02	1.70179221984507E-06	-5.03848353799324E-05	5.37676722090208E-05	1.35855585253012E+00	-3.45165316241458E-06	-1.46365778648516E-04	1.85907023445162E-04	-5.07294370290765E-02
