                    nu/v	                  E_r/v	               N_theta	                 N_zeta	                   N_xi	                   D_11	                   D_31	                   D_13	                   D_33	           D_33_Spitzer	            t_clock [s]	Delta D11	Delta D31	Delta D13	Delta D33
1.0000000000E-05	3.0000000000E-04	1.5000000000E+01	1.6700000000E+02	1.8000000000E+02	1.3861007975E-02	2.7427056280E-01	-2.7443013800E-01	-3.1364186696E+04	-6.5481537729E+04	2.0172920000E+02	2.2093622591E-09	-1.1555753832E-07	1.2284001638E-07	1.7316014055E-04
1.0000000000E-05	3.0000000000E-04	1.5000000000E+01	1.7100000000E+02	1.8000000000E+02	1.3861010184E-02	2.7427044724E-01	-2.7443001516E-01	-3.1364186523E+04	-6.5481537729E+04	2.1591740000E+02	2.2093622591E-09	-1.1555753832E-07	1.2284001638E-07	1.7316014055E-04
														
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	1.5000000000E+01	1.8000000000E+02	1.7134643121E-02	5.2554385252E-01	-5.8554239053E-01	-2.9637682551E+04	-6.5483621376E+04	5.7900000000E-01	-3.1851935627E-03	-2.5531218274E-01	3.2253459859E-01	-5.3406270206E+02
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	1.9000000000E+01	1.8000000000E+02	1.3949449559E-02	2.7023166978E-01	-2.6300779193E-01	-3.0171745253E+04	-6.5481457966E+04	9.5750000000E-01	2.6511404225E-05	-9.8899513299E-02	8.1395760556E-02	-4.2018980924E+02
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	2.3000000000E+01	1.8000000000E+02	1.3975960963E-02	1.7133215648E-01	-1.8161203138E-01	-3.0591935063E+04	-6.5481553843E+04	1.5441000000E+00	5.1129676725E-04	6.9863167540E-02	-5.2153720840E-02	-2.3427366423E+02
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	2.7000000000E+01	1.8000000000E+02	1.4487257730E-02	2.4119532402E-01	-2.3376575222E-01	-3.0826208727E+04	-6.5481538201E+04	2.3559000000E+00	-2.5190107631E-04	3.1491211686E-02	-3.6357237079E-02	-1.4667230398E+02
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	3.1000000000E+01	1.8000000000E+02	1.4235356654E-02	2.7268653571E-01	-2.7012298930E-01	-3.0972881031E+04	-6.5481537748E+04	3.3595000000E+00	2.6333795142E-05	-8.7402980679E-03	8.0479325007E-03	-1.3075323154E+02
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	3.5000000000E+01	1.8000000000E+02	1.4261690449E-02	2.6394623764E-01	-2.6207505680E-01	-3.1103634262E+04	-6.5481537749E+04	4.7246000000E+00	-2.4316536587E-04	-1.0225527169E-02	9.5376800587E-03	-1.0080095000E+02
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	3.9000000000E+01	1.8000000000E+02	1.4018525083E-02	2.5372071047E-01	-2.5253737674E-01	-3.1204435212E+04	-6.5481537728E+04	6.4084000000E+00	-3.1461412038E-04	-1.0742765551E-02	1.0223000338E-02	-7.5198292003E+01
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	4.3000000000E+01	1.8000000000E+02	1.3703910963E-02	2.4297794492E-01	-2.4231437640E-01	-3.1279633504E+04	-6.5481537729E+04	8.4371000000E+00	-8.4050269757E-05	-4.7200726252E-03	4.6860294916E-03	-4.1981407241E+01
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	4.7000000000E+01	1.8000000000E+02	1.3619860693E-02	2.3825787229E-01	-2.3762834691E-01	-3.1321614912E+04	-6.5481537728E+04	1.0739800000E+01	1.6324790760E-04	9.6796936937E-03	-9.7435357331E-03	-2.2596668379E+01
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	5.1000000000E+01	1.8000000000E+02	1.3783108601E-02	2.4793756599E-01	-2.4737188264E-01	-3.1344211580E+04	-6.5481537728E+04	1.3483800000E+01	4.7411109235E-05	6.7319758151E-03	-6.9355060807E-03	2.0636453012E+01
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	5.5000000000E+01	1.8000000000E+02	1.3830519710E-02	2.5466954180E-01	-2.5430738872E-01	-3.1323575127E+04	-6.5481537728E+04	1.6750400000E+01	-4.0705266387E-06	-3.8372173170E-04	3.6752491892E-04	1.4698842249E+01
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	5.9000000000E+01	1.8000000000E+02	1.3826449183E-02	2.5428582007E-01	-2.5393986380E-01	-3.1308876285E+04	-6.5481537728E+04	2.0469200000E+01	-4.5587179777E-05	-1.9154878687E-03	1.9364777964E-03	-7.8846884219E-01
