                        s                     iota                   psi(s)                  psi'(s)             B_theta_s(s)              B_zeta_s(s)
   0.4999999999999995E+00   0.8971011368974670E+00  -0.9524999999999990E+00   0.3031901665900610E+00   0.7806255641895632E-16  -0.1408758027805890E+02
   0.5071428571428562E+00   0.8979640839545900E+00  -0.9661071428571411E+00   0.3031901665900610E+00  -0.6082374187643680E-16  -0.1408758027811380E+02
   0.5142857142857133E+00   0.8988297312996170E+00  -0.9797142857142840E+00   0.3031901665900610E+00  -0.7914675859144182E-17  -0.1408758027815120E+02
   0.5214285714285706E+00   0.8996982485698410E+00  -0.9933214285714270E+00   0.3031901665900610E+00  -0.7665309359472516E-16  -0.1408758027815940E+02
   0.5285714285714278E+00   0.9005697801474710E+00  -0.1006928571428570E+01   0.3031901665900610E+00  -0.3328500669530499E-16  -0.1408758027818520E+02
   0.5357142857142835E+00   0.9014444754119720E+00  -0.1020535714285710E+01   0.3031901665900610E+00   0.6288372600415926E-17  -0.1408758027818470E+02
   0.5428571428571443E+00   0.9023224261182410E+00  -0.1034142857142860E+01   0.3031901665900610E+00  -0.6201636426617085E-16  -0.1408758027822650E+02
   0.5499999999999999E+00   0.9032037682234680E+00  -0.1047750000000000E+01   0.3031901665900610E+00  -0.1626303258728257E-17  -0.1408758027827200E+02
   0.5571428571428556E+00   0.9040885878860220E+00  -0.1061357142857140E+01   0.3031901665900610E+00  -0.4217546450968612E-16  -0.1408758027826990E+02
   0.5642857142857113E+00   0.9049769901664780E+00  -0.1074964285714280E+01   0.3031901665900610E+00  -0.1241411487495903E-15  -0.1408758027827410E+02
   0.5714285714285722E+00   0.9058690454827770E+00  -0.1088571428571430E+01   0.3031901665900610E+00  -0.1886511780124778E-16  -0.1408758027833440E+02
   0.5785714285714277E+00   0.9067648383985230E+00  -0.1102178571428570E+01   0.3031901665900610E+00  -0.1330316065639714E-15  -0.1408758027834080E+02
   0.5857142857142834E+00   0.9076644203572680E+00  -0.1115785714285710E+01   0.3031901665900610E+00   0.9497611030973019E-16  -0.1408758027831950E+02
   0.5928571428571443E+00   0.9085678595393490E+00  -0.1129392857142860E+01   0.3031901665900610E+00  -0.1301042606982605E-17  -0.1408758027835300E+02
   0.6000000000000000E+00   0.9094751916854200E+00  -0.1143000000000000E+01   0.3031901665900610E+00  -0.9844555726168380E-16  -0.1408758027836260E+02
   0.6071428571428557E+00   0.9103864688024360E+00  -0.1156607142857140E+01   0.3031901665900610E+00  -0.4347650711666873E-16  -0.1408758027833740E+02
   0.6142857142857113E+00   0.9113017141996390E+00  -0.1170214285714280E+01   0.3031901665900610E+00  -0.1084202172485504E-18  -0.1408758027835460E+02
   0.6214285714285721E+00   0.9122209595349560E+00  -0.1183821428571430E+01   0.3031901665900610E+00   0.8565197162635485E-17  -0.1408758027834180E+02
